,property_type,sector,price,bedRoom,bathroom,balcony,floortype,agePossession,built_up_area,store room,study room,servant room,pooja room,others,furnishing_type,luxury_score
0,flat,sector 70,5.0,6.0,7.0,3+,low floor,Relatively New,5333.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
1,flat,sector 37d,0.6,2.0,2.0,3,med floor,New Property,625.0,0.0,0.0,0.0,0.0,0.0,0.0,low
2,flat,sector 79,1.9,3.0,4.0,2,high floor,New Property,2389.0,0.0,0.0,1.0,0.0,0.0,0.0,low
3,flat,sector 59,6.75,4.0,4.0,2,med floor,New Property,2567.0,0.0,0.0,1.0,0.0,0.0,0.0,low
4,flat,sector 49,1.98,3.0,4.0,3,med floor,Moderately Old,1750.75,0.0,0.0,1.0,0.0,0.0,1.0,medium
5,flat,sector 112,3.0,3.0,3.0,2,low floor,Relatively New,2600.0,0.0,0.0,0.0,0.0,1.0,1.0,low
6,flat,sector 66,3.9,3.0,4.0,3,low floor,Relatively New,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,low
7,flat,sector 83,1.42,3.0,3.0,2,low floor,Relatively New,1972.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
8,flat,sohna road,0.22,1.0,1.0,1,med floor,Relatively New,477.809521,0.0,0.0,0.0,0.0,0.0,1.0,low
9,flat,sector 61,1.47,2.0,2.0,2,low floor,Under Construction,1333.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
10,flat,sector 2,1.26,2.0,2.0,3,med floor,Moderately Old,1416.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
11,flat,sector 89,1.0,2.0,2.0,3,med floor,New Property,1233.0,0.0,1.0,0.0,0.0,1.0,0.0,medium
12,flat,sector 85,1.2,2.0,2.0,3,high floor,Relatively New,1484.0,0.0,0.0,0.0,0.0,0.0,1.0,high
13,flat,sector 65,3.5,3.0,3.0,3,high floor,New Property,2282.0,0.0,1.0,1.0,1.0,0.0,1.0,high
14,flat,sector 85,1.73,4.0,5.0,3+,med floor,Relatively New,2017.0,0.0,0.0,1.0,0.0,0.0,0.0,low
15,flat,sector 108,0.93,2.0,3.0,3,med floor,Relatively New,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
16,flat,sector 67,4.75,4.0,4.0,3+,low floor,Relatively New,3200.0,1.0,1.0,1.0,1.0,0.0,1.0,high
17,flat,sector 70a,1.6,3.0,3.0,3,low floor,New Property,1750.0,0.0,0.0,1.0,0.0,1.0,0.0,medium
18,flat,sector 85,1.09,2.0,2.0,3,med floor,Relatively New,1638.0,1.0,0.0,0.0,0.0,0.0,0.0,high
19,flat,sector 61,3.87,3.0,4.0,3+,,Under Construction,2250.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
20,flat,sohna road,0.27,2.0,2.0,1,low floor,Relatively New,508.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
21,flat,sector 83,1.04,3.0,2.0,2,low floor,Moderately Old,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
22,flat,sohna road,0.32,2.0,2.0,2,,Relatively New,616.0,0.0,0.0,0.0,0.0,0.0,1.0,low
23,flat,sohna road,0.24,1.0,1.0,1,high floor,Relatively New,378.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
24,flat,sector 106,1.0,2.0,2.0,3+,low floor,New Property,940.0,0.0,0.0,0.0,0.0,0.0,1.0,low
25,flat,manesar,1.6,4.0,6.0,3+,med floor,Relatively New,2611.0,0.0,1.0,1.0,1.0,0.0,0.0,low
26,flat,sohna road,0.74,2.0,2.0,3+,high floor,New Property,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
27,flat,sector 61,1.6,2.0,2.0,2,med floor,New Property,1278.0,0.0,1.0,0.0,0.0,1.0,0.0,low
28,flat,sohna road,0.67,2.0,2.0,3,med floor,Relatively New,1095.0,0.0,0.0,0.0,1.0,0.0,0.0,medium
29,house,sector 39,7.0,10.0,11.0,3+,med floor,Relatively New,7000.0,0.0,0.0,0.0,1.0,0.0,2.0,low
30,flat,sector 78,0.8,3.0,2.0,2,med floor,Moderately Old,1472.0,0.0,0.0,0.0,1.0,0.0,0.0,medium
31,flat,sector 79,1.4,2.0,2.0,2,med floor,Relatively New,1556.0,1.0,1.0,1.0,0.0,0.0,2.0,medium
32,flat,sector 85,1.5,4.0,5.0,3+,med floor,New Property,2017.0,0.0,0.0,1.0,0.0,0.0,1.0,low
33,flat,sector 102,1.45,3.0,3.0,2,med floor,Relatively New,1493.0,0.0,0.0,1.0,0.0,0.0,0.0,high
34,flat,sector 28,2.2,3.0,4.0,3+,med floor,Moderately Old,1956.0,0.0,0.0,1.0,0.0,0.0,2.0,low
35,flat,sector 92,0.5,2.0,2.0,3,low floor,Moderately Old,905.0,0.0,0.0,0.0,0.0,0.0,0.0,low
36,flat,sector 78,1.1,3.0,3.0,3+,med floor,Old Property,2176.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
37,flat,sector 84,1.05,4.0,4.0,3+,med floor,New Property,1896.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
38,house,sector 4,3.2,3.0,3.0,2,low floor,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,low
39,house,sector 12,3.5,8.0,8.0,3+,med floor,Relatively New,4800.0,0.0,1.0,1.0,1.0,0.0,2.0,medium
40,flat,sector 84,0.34,2.0,2.0,1,low floor,Relatively New,537.0,1.0,0.0,0.0,0.0,0.0,1.0,medium
41,flat,sector 81,4.4,4.0,4.0,3+,med floor,New Property,3700.0,0.0,1.0,1.0,1.0,1.0,2.0,low
42,flat,sector 67,0.8,1.0,1.0,0,low floor,Relatively New,610.0,0.0,0.0,0.0,0.0,0.0,0.0,low
43,flat,sector 89,1.16,3.0,3.0,2,med floor,Under Construction,1581.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
44,flat,sector 67,1.0,1.0,1.0,1,,Relatively New,826.0,0.0,0.0,0.0,0.0,0.0,0.0,low
45,flat,sector 113,2.78,3.0,3.0,3,med floor,New Property,2599.0,0.0,1.0,1.0,0.0,0.0,0.0,high
46,flat,sector 54,4.86,3.0,4.0,3+,med floor,Relatively New,1875.0,0.0,0.0,1.0,0.0,0.0,1.0,low
47,flat,sector 103,0.8,2.0,2.0,2,med floor,Relatively New,1361.0,0.0,0.0,0.0,0.0,0.0,0.0,low
48,house,sector 66,8.8,4.0,4.0,3+,med floor,Relatively New,2115.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
49,house,sector 66,12.0,5.0,6.0,3+,med floor,Relatively New,3150.0,1.0,0.0,1.0,0.0,0.0,1.0,high
50,house,sector 2,2.55,3.0,3.0,2,low floor,Old Property,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,low
51,house,sector 8,0.62,3.0,1.0,0,low floor,Moderately Old,550.0,0.0,0.0,0.0,0.0,0.0,0.0,low
52,house,sector 12,0.38,3.0,3.0,3,med floor,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,0.0,low
53,flat,sector 61,1.47,2.0,2.0,2,med floor,Under Construction,1278.0,0.0,1.0,0.0,0.0,0.0,0.0,low
54,house,sector 11,3.08,6.0,4.0,2,low floor,Moderately Old,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,low
55,house,sector 104,0.48,2.0,2.0,1,low floor,New Property,795.0,0.0,1.0,0.0,1.0,1.0,0.0,low
56,flat,sector 90,2.05,4.0,4.0,3+,med floor,Relatively New,2005.0,0.0,0.0,0.0,0.0,0.0,1.0,low
57,flat,sector 90,1.17,3.0,3.0,3,high floor,Relatively New,1630.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
58,flat,sector 106,1.15,3.0,4.0,3,med floor,Relatively New,1305.0,0.0,1.0,1.0,0.0,0.0,0.0,low
59,flat,sector 81,2.35,3.0,4.0,3+,med floor,Relatively New,2511.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
60,flat,sector 77,1.79,3.0,3.0,3,low floor,New Property,1600.0,0.0,0.0,1.0,0.0,0.0,1.0,low
61,flat,sector 81,1.1,3.0,2.0,3+,med floor,Relatively New,1319.0,0.0,0.0,0.0,0.0,0.0,0.0,high
62,flat,sector 70a,0.85,2.0,2.0,2,med floor,Relatively New,842.0,0.0,0.0,0.0,0.0,0.0,1.0,low
63,flat,sector 43,8.44,4.0,5.0,3,med floor,Moderately Old,5000.0,0.0,0.0,1.0,0.0,0.0,2.0,medium
64,flat,sohna road,0.35,2.0,2.0,1,low floor,New Property,699.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
65,flat,manesar,0.81,3.0,3.0,3+,low floor,Moderately Old,1900.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
66,flat,sector 77,1.25,3.0,4.0,3,low floor,Relatively New,1611.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
67,flat,sector 112,2.8,2.0,3.0,2,med floor,Relatively New,2441.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
68,flat,sector 106,0.97,2.0,2.0,3,med floor,New Property,1200.0,0.0,0.0,0.0,1.0,0.0,1.0,high
69,house,sector 66,12.0,5.0,6.0,3+,med floor,New Property,3150.0,0.0,0.0,1.0,1.0,0.0,0.0,low
70,flat,manesar,0.95,3.0,4.0,3,med floor,Moderately Old,2232.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
71,flat,sector 89,0.88,2.0,2.0,0,low floor,New Property,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,low
72,flat,sector 95,0.38,2.0,2.0,2,med floor,Relatively New,716.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
73,flat,sector 85,2.17,4.0,4.0,3,med floor,Relatively New,2600.0,0.0,1.0,1.0,1.0,0.0,0.0,low
74,flat,sohna road,0.3,2.0,2.0,2,med floor,Relatively New,516.0,0.0,0.0,0.0,0.0,0.0,0.0,low
75,flat,sector 86,0.8,2.0,2.0,0,low floor,Relatively New,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,low
76,flat,sector 70,1.64,3.0,5.0,3,med floor,Relatively New,1527.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
77,flat,sector 90,1.25,3.0,3.0,3+,med floor,Relatively New,1929.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
78,flat,sector 65,2.4,3.0,3.0,3,med floor,Relatively New,1600.0,0.0,1.0,1.0,0.0,0.0,1.0,low
79,house,sector 66,18.0,5.0,6.0,3+,med floor,Relatively New,4500.0,1.0,1.0,1.0,1.0,0.0,2.0,high
80,flat,sector 95,0.29,2.0,2.0,2,high floor,Relatively New,507.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
81,flat,sector 70,1.1,2.0,2.0,2,low floor,New Property,1026.0,0.0,1.0,0.0,0.0,0.0,0.0,low
82,flat,sector 2,0.8,3.0,2.0,3,med floor,Moderately Old,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,low
83,flat,sector 83,1.15,3.0,3.0,1,med floor,Moderately Old,1607.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
84,flat,sector 110,3.6,4.0,5.0,3,med floor,Relatively New,3077.0,0.0,0.0,1.0,0.0,0.0,0.0,high
85,house,sector 2,1.15,3.0,3.0,2,low floor,Old Property,594.0,0.0,0.0,0.0,0.0,0.0,1.0,low
86,flat,sector 82,3.0,4.0,6.0,3+,,Relatively New,4425.0,0.0,0.0,1.0,1.0,0.0,1.0,medium
87,flat,sector 108,0.97,2.0,2.0,3,med floor,Relatively New,1167.0,0.0,0.0,1.0,0.0,0.0,0.0,high
88,house,sector 46,2.4,4.0,4.0,3,med floor,Moderately Old,900.0,1.0,0.0,0.0,0.0,0.0,1.0,low
89,flat,sector 99a,1.1,2.0,2.0,3,med floor,New Property,1368.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
90,house,sector 43,2.15,1.0,1.0,0,low floor,Moderately Old,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,low
91,flat,sector 79,2.03,3.0,4.0,3+,med floor,Relatively New,2031.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
92,house,sector 24,1.45,3.0,3.0,1,low floor,Old Property,540.0,0.0,0.0,0.0,0.0,0.0,0.0,low
93,flat,sector 22,1.99,2.0,2.0,2,med floor,New Property,1285.0,0.0,1.0,1.0,1.0,0.0,0.0,low
94,flat,sector 37d,1.45,3.0,3.0,3,med floor,Relatively New,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
95,flat,sector 89,1.28,3.0,3.0,2,med floor,Under Construction,1611.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
96,flat,sector 74,2.25,3.0,3.0,2,med floor,Relatively New,1938.0,0.0,0.0,1.0,0.0,0.0,1.0,high
97,house,sector 48,8.4,4.0,4.0,3,low floor,Old Property,3240.0,0.0,0.0,1.0,1.0,0.0,1.0,low
98,house,sector 50,7.0,4.0,4.0,2,low floor,Old Property,2160.0,0.0,0.0,1.0,0.0,0.0,0.0,low
99,flat,sector 1,0.85,3.0,3.0,3+,med floor,Moderately Old,1946.0,0.0,0.0,1.0,0.0,0.0,0.0,low
100,flat,sector 108,2.6,3.0,3.0,2,med floor,Relatively New,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
101,flat,sector 95,0.92,3.0,3.0,3+,high floor,New Property,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,low
102,flat,sector 90,1.65,4.0,4.0,3+,high floor,Relatively New,2214.0,0.0,0.0,0.0,0.0,0.0,0.0,high
103,flat,sector 81,3.0,4.0,5.0,2,med floor,Relatively New,2882.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
104,flat,sector 107,0.5,2.0,2.0,2,high floor,New Property,622.0,0.0,0.0,0.0,0.0,0.0,0.0,low
105,flat,sector 85,2.2,4.0,6.0,3,med floor,Relatively New,3920.0,0.0,0.0,1.0,0.0,0.0,0.0,high
106,flat,sector 90,0.5,2.0,2.0,1,med floor,New Property,650.0,0.0,0.0,0.0,0.0,0.0,0.0,low
107,house,sector 33,8.0,6.0,5.0,3+,med floor,Relatively New,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,low
108,house,sector 67,8.0,6.0,7.0,3+,,Moderately Old,3600.0,0.0,1.0,1.0,1.0,0.0,1.0,low
109,flat,sector 30,3.55,3.0,5.0,3+,,Old Property,2367.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
110,flat,sector 79,1.3,2.0,2.0,2,med floor,Relatively New,1330.0,0.0,1.0,0.0,0.0,0.0,1.0,medium
111,flat,sector 60,2.12,2.0,2.0,2,low floor,Relatively New,1350.0,0.0,0.0,0.0,1.0,0.0,1.0,high
112,flat,sector 55,1.9,4.0,3.0,3+,med floor,Moderately Old,2000.0,0.0,0.0,0.0,1.0,0.0,2.0,low
113,house,sector 66,15.1,5.0,5.0,3+,med floor,New Property,8067.799999999999,1.0,1.0,1.0,1.0,0.0,0.0,medium
114,flat,sector 86,1.59,3.0,3.0,3,,Relatively New,1700.0,0.0,0.0,0.0,0.0,1.0,1.0,high
115,flat,sector 68,0.8,2.0,2.0,3+,high floor,New Property,1180.0,0.0,0.0,0.0,0.0,0.0,1.0,low
116,flat,sector 28,2.35,3.0,4.0,3,med floor,Old Property,1700.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
117,flat,sector 48,6.25,3.0,5.0,3+,med floor,Moderately Old,3200.0,0.0,0.0,1.0,0.0,0.0,1.0,low
118,flat,sector 43,2.35,3.0,3.0,2,low floor,Old Property,1527.0,1.0,0.0,0.0,0.0,0.0,1.0,medium
119,flat,sector 60,2.05,2.0,3.0,2,low floor,Relatively New,1520.0,1.0,0.0,0.0,0.0,0.0,1.0,high
120,flat,sector 108,0.7,2.0,2.0,1,med floor,Moderately Old,1468.0,0.0,0.0,0.0,0.0,0.0,0.0,low
121,flat,sector 84,0.9,3.0,3.0,3,,Relatively New,1833.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
122,flat,sohna road,0.3,2.0,2.0,2,med floor,New Property,605.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
123,flat,sector 72,3.85,4.0,5.0,3+,high floor,Relatively New,2629.0,0.0,0.0,1.0,0.0,0.0,1.0,high
124,flat,sohna road,0.35,2.0,2.0,2,,New Property,658.0,0.0,0.0,0.0,0.0,0.0,0.0,low
125,flat,sector 36,0.82,3.0,2.0,2,low floor,New Property,850.0,0.0,0.0,0.0,0.0,0.0,0.0,low
126,flat,sector 112,3.65,3.0,4.0,3+,high floor,Relatively New,2225.56,0.0,0.0,1.0,0.0,0.0,1.0,high
127,flat,sector 103,2.14,4.0,6.0,3+,med floor,Relatively New,2718.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
128,flat,sector 86,0.5,2.0,2.0,1,med floor,Relatively New,578.0,0.0,0.0,0.0,0.0,0.0,0.0,low
129,flat,sector 91,1.9,4.0,4.0,3,med floor,Relatively New,2465.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
130,house,sector 27,4.25,5.0,5.0,3+,med floor,Relatively New,1350.0,0.0,0.0,1.0,1.0,0.0,1.0,low
131,flat,sector 99,3.25,4.0,4.0,3+,low floor,New Property,3041.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
132,house,sector 48,8.5,4.0,4.0,2,low floor,Moderately Old,3240.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
133,flat,sohna road,1.14,3.0,3.0,3+,med floor,Relatively New,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,high
134,flat,manesar,0.9,3.0,3.0,3,low floor,Old Property,1900.0,0.0,0.0,1.0,0.0,0.0,2.0,low
135,flat,sector 85,1.87,3.0,4.0,3,med floor,Relatively New,2225.0,0.0,0.0,0.0,0.0,0.0,0.0,low
136,flat,sector 82a,1.59,3.0,3.0,3+,med floor,Relatively New,1668.0,0.0,0.0,0.0,0.0,1.0,2.0,high
137,house,sector 17,0.29,2.0,1.0,0,low floor,Old Property,891.0,0.0,0.0,0.0,0.0,0.0,0.0,low
138,house,sector 43,1.95,3.0,4.0,3+,med floor,New Property,1935.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
139,flat,sohna road,0.53,2.0,2.0,2,low floor,Relatively New,913.0,0.0,0.0,0.0,1.0,0.0,0.0,high
140,flat,sector 102,1.99,2.0,2.0,2,high floor,New Property,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,high
141,flat,sector 107,0.37,2.0,2.0,2,med floor,New Property,615.0,0.0,0.0,0.0,0.0,0.0,0.0,low
142,house,sector 26,4.5,3.0,3.0,2,low floor,Old Property,1350.0,0.0,0.0,0.0,1.0,0.0,1.0,medium
143,house,sector 57,6.21,6.0,6.0,3+,med floor,Old Property,2700.0,1.0,1.0,1.0,1.0,0.0,0.0,medium
144,flat,sector 81,2.45,3.0,3.0,2,med floor,Relatively New,1800.0,0.0,0.0,1.0,0.0,0.0,1.0,high
145,flat,sector 95,0.43,2.0,2.0,2,med floor,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
146,flat,sector 60,2.85,3.0,4.0,3+,med floor,Relatively New,2045.0,0.0,0.0,1.0,0.0,0.0,1.0,high
147,house,sector 81,4.35,4.0,4.0,3,low floor,Relatively New,5480.0,1.0,0.0,1.0,0.0,0.0,0.0,medium
148,flat,sector 71,1.3,4.0,4.0,3,med floor,Moderately Old,2127.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
149,flat,sector 81,2.26,3.0,4.0,3+,,New Property,1900.0,0.0,0.0,1.0,0.0,0.0,2.0,high
150,flat,sohna road,0.93,2.0,2.0,2,med floor,Under Construction,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,low
151,flat,sector 63a,2.0,3.0,3.0,2,low floor,Under Construction,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,low
152,flat,sector 90,1.19,3.0,3.0,2,high floor,Relatively New,1562.0,0.0,0.0,0.0,0.0,1.0,0.0,medium
153,flat,sector 89,1.25,3.0,3.0,3,low floor,Under Construction,1288.0,0.0,0.0,0.0,1.0,0.0,0.0,low
154,flat,sector 81,2.3,3.0,4.0,3+,,Relatively New,1854.0,0.0,0.0,1.0,0.0,0.0,2.0,high
155,flat,sector 39,1.5,4.0,3.0,3,med floor,Old Property,2611.0,0.0,0.0,1.0,0.0,0.0,2.0,low
156,flat,sector 102,1.9,3.0,4.0,3,med floor,Relatively New,1710.0,0.0,0.0,1.0,0.0,0.0,0.0,high
157,flat,sohna road,0.4,2.0,2.0,2,med floor,Relatively New,762.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
158,flat,sohna road,0.2,2.0,2.0,1,med floor,New Property,743.0,0.0,0.0,0.0,0.0,0.0,0.0,low
159,house,sector 3 phase 3 extension,1.0,1.0,1.0,0,low floor,Moderately Old,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,low
160,flat,sector 63a,1.4,2.0,2.0,2,med floor,Under Construction,1372.0,0.0,0.0,0.0,0.0,1.0,0.0,low
161,flat,sector 37d,0.55,2.0,2.0,3,med floor,New Property,610.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
162,flat,sector 102,0.96,2.0,2.0,2,med floor,Relatively New,828.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
163,flat,sector 110,4.25,5.0,5.0,3+,med floor,Relatively New,3511.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
164,flat,sector 107,0.36,2.0,2.0,1,med floor,Relatively New,496.0,0.0,0.0,0.0,0.0,0.0,0.0,low
165,house,sector 28,3.5,2.0,6.0,3,med floor,Relatively New,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,low
166,flat,sector 37c,1.27,3.0,3.0,3,low floor,Relatively New,1581.0,0.0,1.0,0.0,0.0,1.0,0.0,low
167,flat,sector 104,0.85,2.0,2.0,3+,med floor,Relatively New,1269.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
168,flat,sector 99a,0.27,2.0,2.0,1,med floor,Relatively New,498.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
169,flat,sector 102,1.1,2.0,2.0,1,med floor,Under Construction,817.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
170,flat,sector 70,1.3,3.0,3.0,3,,Under Construction,1865.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
171,flat,sector 109,1.7,3.0,3.0,3+,med floor,Relatively New,2303.0,0.0,0.0,1.0,0.0,0.0,0.0,high
172,house,sector 23,5.65,7.0,7.0,3+,low floor,Moderately Old,5000.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
173,flat,sector 104,0.82,2.0,2.0,3,high floor,Relatively New,86.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
174,flat,sector 107,1.02,2.0,2.0,3,med floor,Relatively New,1388.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
175,flat,sohna road,0.26,2.0,2.0,2,low floor,Moderately Old,521.0,0.0,0.0,0.0,0.0,0.0,0.0,low
176,flat,sector 109,2.2,3.0,4.0,3,high floor,Relatively New,1860.0,0.0,0.0,1.0,0.0,0.0,0.0,high
177,house,sohna road road,0.5,2.0,4.0,3,med floor,Relatively New,725.0,0.0,0.0,0.0,1.0,0.0,0.0,low
178,flat,sector 109,1.7,3.0,3.0,3,,Moderately Old,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,low
179,flat,sector 112,5.6,4.0,6.0,3+,high floor,Moderately Old,3662.34,0.0,0.0,1.0,0.0,0.0,1.0,high
180,flat,sector 99a,1.02,2.0,2.0,3,med floor,Relatively New,1430.0,0.0,1.0,0.0,0.0,0.0,0.0,high
181,flat,sector 92,0.95,4.0,3.0,3,med floor,Moderately Old,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
182,flat,sector 92,1.6,3.0,4.0,3+,med floor,Relatively New,1615.0,0.0,0.0,1.0,0.0,1.0,1.0,high
183,flat,sector 109,2.2,3.0,3.0,2,med floor,Moderately Old,2576.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
184,flat,sector 43,3.8,3.0,3.0,3+,low floor,Moderately Old,2450.0,0.0,0.0,1.0,1.0,0.0,1.0,medium
185,flat,sector 102,1.38,3.0,3.0,3,med floor,Relatively New,1315.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
186,house,sector 25,7.3,9.0,9.0,2,med floor,Relatively New,5800.0,1.0,0.0,1.0,0.0,0.0,1.0,medium
187,flat,sector 54,11.0,4.0,6.0,3,med floor,Relatively New,2826.0,0.0,0.0,1.0,0.0,0.0,2.0,medium
188,flat,sector 43,5.25,4.0,4.0,3,med floor,Old Property,2570.0,0.0,0.0,1.0,1.0,1.0,0.0,medium
189,flat,sector 65,3.5,4.0,4.0,3,med floor,Relatively New,1975.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
190,flat,sector 81,2.3,3.0,4.0,3+,,Relatively New,1825.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
191,flat,sector 102,1.1,2.0,2.0,1,med floor,Relatively New,915.0,0.0,0.0,0.0,0.0,0.0,0.0,low
192,flat,sector 61,1.7,2.0,2.0,2,med floor,Under Construction,1244.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
193,flat,sector 3 phase 2,0.3,2.0,2.0,1,low floor,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,0.0,low
194,flat,sector 104,2.6,3.0,4.0,3+,med floor,Relatively New,2061.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
195,flat,sohna road,0.32,2.0,2.0,2,low floor,New Property,577.0,0.0,0.0,0.0,0.0,0.0,0.0,low
196,flat,sector 37d,1.1,3.0,3.0,3,med floor,Relatively New,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
197,flat,sector 58,2.2,2.0,2.0,2,med floor,Relatively New,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,low
198,flat,sector 109,0.79,3.0,2.0,2,med floor,Relatively New,1213.0,0.0,0.0,0.0,0.0,0.0,1.0,low
199,flat,sector 70a,1.7,4.0,3.0,3,low floor,Relatively New,2111.0,0.0,0.0,0.0,0.0,0.0,1.0,low
200,house,sector 12,1.0,3.0,7.0,3+,med floor,Moderately Old,3750.0,1.0,0.0,0.0,1.0,0.0,0.0,low
201,flat,sohna road,0.78,2.0,2.0,2,med floor,Relatively New,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
202,flat,sector 104,1.3,3.0,2.0,3+,,Relatively New,1303.0,1.0,1.0,0.0,1.0,0.0,1.0,low
203,flat,sector 81,0.5,2.0,2.0,3,med floor,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
204,flat,sector 52,1.76,4.0,4.0,3+,high floor,New Property,2199.0,0.0,0.0,0.0,0.0,0.0,0.0,low
205,flat,sector 65,1.95,2.0,2.0,3,,Under Construction,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,low
206,flat,sector 82,1.45,4.0,3.0,0,low floor,Relatively New,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
207,flat,sector 81,2.7,3.0,3.0,3,high floor,Relatively New,2343.0,0.0,0.0,1.0,0.0,0.0,1.0,low
208,house,sector 8,0.59,2.0,2.0,2,low floor,Moderately Old,585.0,0.0,0.0,0.0,0.0,1.0,0.0,low
209,house,sector 21,0.45,3.0,2.0,1,low floor,Old Property,594.0,0.0,0.0,0.0,0.0,0.0,0.0,low
210,house,sector 48,6.4,3.0,4.0,3,low floor,Relatively New,2592.0,1.0,1.0,1.0,0.0,0.0,1.0,medium
211,flat,sector 90,0.7,2.0,3.0,2,med floor,Relatively New,1502.0,0.0,1.0,0.0,0.0,0.0,1.0,low
212,flat,sector 110,3.7,4.0,5.0,3,med floor,Relatively New,3077.0,0.0,0.0,1.0,0.0,0.0,0.0,high
213,flat,sector 84,1.2,2.0,2.0,3,med floor,Relatively New,1457.0,0.0,1.0,0.0,0.0,0.0,1.0,medium
