,property_type,sector,price,bedRoom,bathroom,balcony,floortype,agePossession,built_up_area,store room,study room,servant room,pooja room,others,furnishing_type,luxury_score
839,flat,sector 90,1.75,4.0,4.0,3+,,Relatively New,2468.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
840,flat,sector 83,0.8,2.0,2.0,2,med floor,Moderately Old,1195.0,1.0,0.0,0.0,0.0,0.0,0.0,low
841,house,sector 109,6.1,5.0,6.0,3+,low floor,Moderately Old,2430.0,0.0,0.0,1.0,0.0,0.0,0.0,low
842,house,sector 24,3.51,4.0,4.0,3,med floor,Under Construction,2844.0,1.0,1.0,1.0,1.0,0.0,1.0,high
843,house,sector 14,4.5,5.0,5.0,1,low floor,Relatively New,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,low
844,flat,sector 78,1.15,3.0,3.0,3,med floor,Moderately Old,1969.0,0.0,0.0,1.0,0.0,1.0,0.0,low
845,flat,sector 65,3.29,3.0,3.0,3,,New Property,1828.0,0.0,0.0,0.0,0.0,0.0,0.0,low
846,house,sector 13,9.0,10.0,5.0,3+,med floor,Old Property,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,low
847,flat,sector 53,7.4,4.0,4.0,3,,Under Construction,2477.0,0.0,0.0,0.0,0.0,0.0,0.0,low
848,flat,sector 92,1.55,3.0,4.0,3,,Relatively New,1805.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
849,flat,sector 91,0.96,2.0,2.0,3+,med floor,Moderately Old,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
850,house,sector 17b,6.95,4.0,4.0,3+,low floor,Old Property,3500.0,1.0,1.0,1.0,1.0,0.0,0.0,low
851,flat,sector 89,1.55,3.0,2.0,3,med floor,Moderately Old,1403.0,1.0,0.0,0.0,0.0,0.0,1.0,medium
852,flat,sector 90,0.9,3.0,4.0,3,med floor,Relatively New,1765.0,0.0,0.0,1.0,0.0,0.0,0.0,high
853,house,sector 109,11.3,7.0,5.0,3+,med floor,Relatively New,4500.0,0.0,1.0,1.0,1.0,1.0,0.0,low
854,flat,sector 109,1.7,1.0,1.0,2,med floor,Relatively New,965.0,0.0,0.0,0.0,0.0,0.0,0.0,low
855,flat,sector 92,0.75,3.0,4.0,3,low floor,Moderately Old,1778.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
856,flat,sector 81,2.2,3.0,4.0,3+,med floor,Relatively New,2481.0,0.0,0.0,1.0,0.0,0.0,1.0,high
857,flat,sector 102,1.4,3.0,3.0,3,med floor,Relatively New,1413.0,0.0,0.0,1.0,0.0,0.0,0.0,low
858,flat,sector 63,4.49,4.0,4.0,3+,med floor,New Property,3150.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
859,flat,sector 81,2.12,3.0,3.0,3+,med floor,Relatively New,1650.0,0.0,1.0,1.0,1.0,1.0,2.0,low
860,flat,sector 68,1.05,2.0,2.0,2,high floor,New Property,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
861,flat,sector 85,0.69,2.0,2.0,2,med floor,Relatively New,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,low
862,flat,sector 86,1.5,3.0,3.0,1,high floor,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,high
863,flat,sector 84,1.15,2.0,2.0,3,high floor,Relatively New,1394.0,0.0,1.0,0.0,0.0,0.0,0.0,low
864,flat,sector 103,2.4,4.0,6.0,3+,high floor,Relatively New,2456.0,0.0,0.0,1.0,0.0,0.0,0.0,high
865,flat,sector 108,3.0,4.0,5.0,3+,low floor,Relatively New,2204.25,0.0,0.0,1.0,0.0,0.0,2.0,medium
866,flat,sector 70a,1.66,3.0,3.0,3+,med floor,New Property,1900.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
867,flat,sector 56,1.38,3.0,3.0,3,med floor,Moderately Old,1910.0,0.0,1.0,0.0,0.0,0.0,1.0,medium
868,flat,sector 84,0.79,3.0,3.0,3+,med floor,New Property,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,low
869,flat,sector 89,1.01,2.0,2.0,2,med floor,Under Construction,1226.0,0.0,1.0,0.0,0.0,0.0,0.0,low
870,flat,sector 69,1.38,3.0,3.0,1,high floor,Relatively New,1392.0,0.0,0.0,0.0,1.0,0.0,0.0,medium
871,flat,sector 33,1.5,3.0,3.0,3,med floor,Under Construction,1403.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
872,flat,sohna road,0.25,2.0,2.0,1,high floor,Relatively New,681.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
873,flat,sector 102,1.52,3.0,3.0,3,med floor,Relatively New,1315.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
874,flat,sector 54,11.0,4.0,5.0,3+,med floor,Relatively New,3444.0,0.0,1.0,1.0,1.0,0.0,0.0,low
875,flat,sohna road,0.95,2.0,2.0,3,med floor,Under Construction,1131.0,0.0,1.0,0.0,0.0,0.0,0.0,low
876,house,sector 43,7.85,9.0,9.0,3+,med floor,Relatively New,2700.0,0.0,1.0,1.0,1.0,1.0,2.0,low
877,flat,sector 79,1.2,3.0,3.0,3,,Relatively New,1348.0,0.0,0.0,0.0,0.0,0.0,1.0,low
878,flat,sector 77,1.35,3.0,3.0,3+,med floor,New Property,1451.0,1.0,0.0,0.0,0.0,0.0,1.0,medium
879,flat,sector 65,2.85,3.0,3.0,3,,Under Construction,1828.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
880,house,sector 28,5.5,4.0,3.0,3,low floor,Old Property,1800.0,0.0,0.0,0.0,1.0,1.0,1.0,low
881,flat,sector 85,1.8,3.0,3.0,3,,Under Construction,141.0,0.0,0.0,0.0,0.0,0.0,0.0,low
882,flat,sector 37d,1.36,3.0,3.0,3,low floor,Under Construction,1535.0,0.0,0.0,0.0,1.0,1.0,0.0,low
883,flat,sector 12,2.7,4.0,3.0,3,med floor,Old Property,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,low
884,house,sector 26,18.0,6.0,6.0,2,med floor,Old Property,4518.0,0.0,0.0,1.0,1.0,1.0,1.0,low
885,house,sector 48,7.8,4.0,4.0,3+,low floor,Relatively New,3240.0,1.0,1.0,1.0,1.0,0.0,1.0,medium
886,house,sector 12,6.0,9.0,9.0,3+,med floor,Old Property,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,low
887,house,sector 37,1.9,10.0,9.0,3+,med floor,Relatively New,5018.0,0.0,0.0,0.0,0.0,1.0,2.0,low
888,flat,sector 92,0.99,3.0,2.0,3,low floor,New Property,1661.0,0.0,0.0,0.0,0.0,1.0,0.0,low
889,house,sector 12,0.42,3.0,3.0,0,low floor,New Property,567.0,0.0,0.0,0.0,1.0,0.0,0.0,low
890,house,sector 56,7.5,8.0,8.0,3+,med floor,Relatively New,3240.0,0.0,1.0,1.0,1.0,0.0,2.0,low
891,flat,sector 81,0.88,2.0,2.0,3,med floor,Relatively New,1223.0,0.0,1.0,0.0,0.0,0.0,1.0,medium
892,flat,sector 50,3.0,3.0,3.0,3+,high floor,Old Property,2357.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
893,flat,sector 28,1.91,2.0,2.0,2,high floor,New Property,1278.0,0.0,0.0,0.0,0.0,0.0,2.0,medium
894,house,sector 28,13.0,10.0,10.0,3+,low floor,Relatively New,8056.0,0.0,0.0,0.0,0.0,0.0,0.0,low
895,flat,sector 109,1.5,3.0,3.0,1,med floor,New Property,2519.0,0.0,0.0,1.0,0.0,0.0,0.0,low
896,house,sector 26,17.3,6.0,7.0,3+,med floor,New Property,4518.0,1.0,1.0,1.0,1.0,0.0,1.0,medium
897,flat,sector 102,0.45,1.0,1.0,2,med floor,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,0.0,low
898,flat,sector 104,2.3,3.0,4.0,3+,med floor,Moderately Old,2217.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
899,house,sector 72,3.1,5.0,5.0,3+,,Relatively New,3653.0,0.0,0.0,0.0,0.0,0.0,0.0,low
900,flat,sector 63a,3.23,3.0,3.0,3,med floor,New Property,1202.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
901,flat,sector 67a,0.7,2.0,2.0,1,high floor,New Property,657.0,0.0,0.0,0.0,0.0,0.0,0.0,low
902,house,sector 66,8.7,4.0,5.0,2,med floor,New Property,2250.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
903,flat,sector 70,2.35,4.0,4.0,3+,med floor,Moderately Old,2667.0,0.0,0.0,1.0,0.0,0.0,1.0,medium
904,house,sector 109,6.2,5.0,5.0,2,low floor,Relatively New,2430.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
905,house,sector 25,10.5,5.0,5.0,3,med floor,Moderately Old,3618.0,0.0,1.0,1.0,1.0,0.0,0.0,low
906,house,sector 43,8.49,3.0,3.0,2,med floor,Relatively New,2700.0,0.0,0.0,1.0,1.0,0.0,1.0,low
907,flat,sector 86,1.6,3.0,3.0,1,high floor,Relatively New,1746.0,0.0,0.0,0.0,1.0,0.0,0.0,medium
908,house,sector 82,1.4,3.0,3.0,2,med floor,New Property,1700.0,0.0,0.0,0.0,1.0,0.0,0.0,medium
909,flat,sector 95,0.46,2.0,2.0,0,med floor,New Property,990.0,0.0,0.0,0.0,0.0,0.0,0.0,low
910,house,sector 9,1.1,4.0,3.0,1,low floor,Old Property,200.0,0.0,0.0,0.0,0.0,0.0,0.0,low
911,flat,sector 70,1.65,3.0,4.0,3+,,New Property,1923.0,0.0,1.0,1.0,0.0,0.0,0.0,medium
912,house,sector 45,10.0,6.0,6.0,3+,med floor,Moderately Old,3240.0,1.0,1.0,1.0,1.0,0.0,1.0,medium
913,flat,sector 85,1.06,2.0,2.0,2,high floor,Relatively New,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,low
914,flat,gwal pahari,5.9,4.0,4.0,3+,,New Property,4842.0,1.0,1.0,1.0,1.0,0.0,1.0,high
915,flat,sector 69,1.8,3.0,3.0,3,high floor,Under Construction,1893.0,0.0,0.0,0.0,0.0,0.0,0.0,low
916,house,sector 109,5.75,4.0,4.0,2,med floor,Relatively New,4800.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
917,house,sector 43,5.75,4.0,4.0,2,med floor,Under Construction,2430.0,1.0,0.0,1.0,0.0,0.0,2.0,high
918,flat,sector 89,0.85,2.0,2.0,2,low floor,Under Construction,1226.0,0.0,1.0,0.0,0.0,0.0,0.0,low
919,house,sector 4,1.9,4.0,3.0,2,low floor,Moderately Old,211.0,1.0,0.0,0.0,1.0,0.0,1.0,low
920,flat,sector 92,0.39,3.0,3.0,3+,med floor,Relatively New,713.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
921,flat,sector 2,1.55,3.0,4.0,3+,med floor,Moderately Old,1738.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
922,flat,sector 84,0.35,2.0,2.0,1,med floor,Relatively New,528.0,0.0,0.0,0.0,0.0,0.0,0.0,low
923,house,sector 50,12.0,3.0,4.0,2,low floor,Moderately Old,3240.0,0.0,1.0,1.0,0.0,0.0,1.0,medium
924,flat,sector 76,1.05,3.0,3.0,3+,med floor,Relatively New,1597.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
925,flat,sector 62,2.1,2.0,2.0,2,,New Property,1365.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
926,flat,sector 113,2.51,3.0,3.0,3+,low floor,Under Construction,1696.0,0.0,1.0,0.0,0.0,0.0,0.0,low
927,flat,sector 71,0.95,2.0,2.0,0,med floor,Moderately Old,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,low
928,flat,sector 86,0.74,2.0,2.0,1,high floor,Under Construction,1231.0,0.0,0.0,0.0,0.0,1.0,0.0,low
929,flat,sector 111,3.65,4.0,5.0,3+,,Moderately Old,2670.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
930,flat,sector 92,0.95,4.0,5.0,3+,med floor,Moderately Old,1717.0,0.0,0.0,1.0,0.0,0.0,0.0,low
931,flat,sector 86,1.3,2.0,2.0,3,med floor,Relatively New,1339.0,0.0,1.0,0.0,0.0,0.0,0.0,low
932,flat,sector 104,1.8,3.0,4.0,3,high floor,New Property,2544.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
933,flat,sector 24,14.0,4.0,5.0,3,med floor,Old Property,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,low
934,flat,sector 85,1.3,2.0,2.0,3+,med floor,Relatively New,1491.0,1.0,0.0,0.0,0.0,0.0,0.0,medium
935,flat,sector 108,1.68,3.0,3.0,3+,med floor,Relatively New,1338.29,0.0,1.0,1.0,0.0,0.0,1.0,medium
936,flat,sector 102,2.12,3.0,3.0,3,med floor,Relatively New,1852.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
937,flat,sohna road,0.4,2.0,2.0,1,low floor,New Property,582.0,0.0,0.0,0.0,0.0,1.0,1.0,low
938,house,sector 43,1.65,4.0,4.0,3+,med floor,Moderately Old,540.0,0.0,0.0,0.0,0.0,1.0,2.0,low
939,flat,sector 84,0.3,1.0,1.0,1,high floor,New Property,500.0,0.0,0.0,0.0,0.0,0.0,1.0,low
940,flat,sector 86,1.35,3.0,3.0,1,med floor,Relatively New,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
941,flat,sector 90,1.75,4.0,4.0,3+,med floor,Relatively New,2005.0,0.0,0.0,0.0,0.0,1.0,0.0,low
942,flat,sector 72,3.1,4.0,5.0,3+,med floor,Moderately Old,3374.0,1.0,1.0,1.0,1.0,0.0,0.0,medium
943,flat,sector 12,0.6,2.0,2.0,1,low floor,New Property,800.0,0.0,0.0,0.0,1.0,0.0,2.0,low
944,house,sector 26,3.25,3.0,3.0,3,low floor,Old Property,8829.0,0.0,1.0,0.0,0.0,0.0,0.0,medium
945,flat,sector 78,0.95,3.0,3.0,2,med floor,Relatively New,1730.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
946,flat,sector 107,0.37,2.0,2.0,1,med floor,Relatively New,496.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
947,flat,sector 69,0.91,3.0,2.0,2,high floor,Moderately Old,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,low
948,flat,sector 83,1.05,3.0,3.0,3,med floor,Moderately Old,1468.0,0.0,0.0,0.0,1.0,0.0,1.0,medium
949,flat,sector 43,6.2,4.0,4.0,3+,med floor,Moderately Old,2712.0,0.0,0.0,1.0,0.0,0.0,0.0,low
